periódicos,scielo_url,publicador,status,"revista brasileira?"
"Revista Lasallista de Investigación ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1794-4449&lng=en,"Corporación Universitaria Lasallista",current,não
"Revista Latinoamericana de Bioética ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1657-4702&lng=en,"Universidad Militar Nueva Granada",current,não
"Revista Latinoamericana de Ciencias Sociales NiÃ±ez y Juventud ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1692-715X&lng=en,"Centro de Estudios Avanzados en NiÃ±ez y Juventud Cinde - Universidad de Manizales",current,não
"Revista mexicana de biodiversidad ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1870-3453&lng=en,"Instituto de Biología",current,não
"Revista mexicana de fitopatología ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-3309&lng=en,"Sociedad Mexicana de Fitopatología A.C.",current,não
"Revista Peruana de Biología ",http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=1727-9933&lng=en,"Universidad Nacional Mayor de San Marcos. Facultad de Ciencias Biológicas",current,não
"Revista Psicologia e SaÃºde ",http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=2177-093X&lng=en,"Universidade Católica Dom Bosco, Programa de Mestrado e Doutorado em Psicologia",current,sim
"Revista U.D.C.A Actualidad & Divulgación Científica ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-4226&lng=en,"Universidad de Ciencias Aplicadas y Ambientales",current,não
"Rodriguésia ",http://www.scielo.br/scielo.php?script=sci_serial&pid=2175-7860&lng=en,"Instituto de Pesquisas Jardim Botânico do Rio de Janeiro",current,sim
"SA Orthopaedic Journal ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1681-150X&lng=en,"Medpharm Publications",current,não
"Saber ",http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1315-0162&lng=en,"Universidad de Oriente",current,não
"SAMJ: South African Medical Journal ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0256-9574&lng=en,"Health and Medical Publishing Group",current,não
"Scientia fungorum ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2594-1321&lng=en,"Instituto de Ecología, A.C.",current,não
"South African Dental Journal ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0011-8516&lng=en,"The South African Dental Association (SADA)",current,não
"South African Journal of Agricultural Extension ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0301-603X&lng=en,"South African Society of Agricultural Extension (SASAE)",current,não
"South African Journal of Animal Science ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0375-1589&lng=en,"The South African Society for Animal Science (SASAS)",current,não
"South African Journal of Occupational Therapy ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2310-3833&lng=en,"The Occupational Therapy Association of South Africa",current,não
"South African Journal of Science ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0038-2353&lng=en,"Academy of Science of South Africa",current,não
"Southern African Journal of HIV Medicine ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2078-6751&lng=en,"Southern African HIV Clinicians Society",current,não
"Temas em Psicologia ",http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1413-389X&lng=en,"Sociedade Brasileira de Psicologia",current,sim
"Tempo psicanalitico ",http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=0101-4838&lng=en,"Sociedade de Psicanálise Iracy Doyle",current,sim
"Therya ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-3364&lng=en,"Asociación Mexicana de Mastozoología A. C.",current,não
"TransFormaçÃµes em Psicologia (Online) ",http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=2176-106X&lng=en,"Universidade de São Paulo, Instituto de Psicologia",current,sim
"Universitas Scientiarum ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0122-7483&lng=en,"Facultad de Ciencias de la Pontificia Universidad Javeriana de Bogotá.",current,não
"Vaccimonitor ",http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1025-028X&lng=en,"Finlay Ediciones",current,não
"Water SA ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1816-7950&lng=en,"Water Research Commission (WRC)",current,não
"Zoologia (Curitiba) ",http://www.scielo.br/scielo.php?script=sci_serial&pid=1984-4670&lng=en,"Sociedade Brasileira de Zoologia",current,sim
